Episode,Reward
1,-136.96428847312927
2,-142.70408475399017
3,-170.0765334367752
4,-154.24745190143585
5,-157.11734998226166
6,-141.26275753974915
7,-125.4081654548645
8,-157.1428599357605
9,-148.50765585899353
10,-139.82143139839172
11,-145.59949278831482
12,-145.58673763275146
13,-155.67602336406708
14,-151.37755393981934
15,-154.2602070569992
16,-138.36734998226166
17,-148.48214614391327
18,-142.70408403873444
19,-161.42857480049133
20,-160.00000309944153
21,-152.79337000846863
22,-155.68877828121185
23,-145.57398211956024
24,-141.27551305294037
25,-132.62755250930786
26,-162.8826562166214
27,-151.35204339027405
28,-138.38010454177856
29,-154.2346968650818
30,-135.49745166301727
31,-144.15816640853882
32,-155.688778758049
33,-161.44132888317108
34,-148.4693900346756
35,-139.8469408750534
36,-136.9515335559845
37,-151.36479878425598
38,-147.0408183336258
39,-129.73214542865753
40,-138.38010454177856
41,-125.40816569328308
42,-123.96683919429779
43,-152.81888020038605
44,-144.15816593170166
45,-145.59949231147766
46,-139.83418679237366
47,-135.5102061033249
48,-171.5433704853058
49,-158.55867648124695
50,-136.95153331756592
51,-134.0688806772232
52,-141.2755128145218
53,-123.97959423065186
54,-162.8826550245285
55,-154.26020753383636
56,-136.938778758049
57,-141.26275730133057
58,-135.49745166301727
59,-134.0688794851303
60,-135.5229616165161
61,-141.28826773166656
62,-144.17092108726501
63,-145.61224782466888
64,-123.96683847904205
65,-132.6147985458374
66,-158.54592168331146
67,-149.92347264289856
68,-147.0408192873001
69,-148.4693900346756
70,-144.15816593170166
71,-142.6913297176361
72,-151.33928835391998
73,-147.04081857204437
74,-147.06632781028748
75,-123.99234962463379
76,-152.78061532974243
77,-147.04081881046295
78,-136.93877804279327
79,-171.53061485290527
80,-142.71683990955353
81,-161.42857480049133
82,-141.25000286102295
83,-131.18622708320618
84,-162.88265550136566
85,-149.92347168922424
86,-145.61224782466888
87,-147.02806425094604
88,-125.42092108726501
89,-145.61224782466888
90,-136.95153331756592
91,-157.14286017417908
92,-154.26020753383636
93,-129.7449005842209
94,-151.35204362869263
95,-165.75255417823792
96,-148.49490094184875
97,-148.4821456670761
98,-154.2346966266632
99,-168.66071712970734
100,-160.01275765895844
101,-162.8826550245285
102,-145.5867371559143
103,-139.83418679237366
104,-155.70153379440308
105,-129.75765585899353
106,-134.05612540245056
107,-162.89541125297546
108,-132.62755370140076
109,-151.36479806900024
110,-149.9489824771881
111,-139.83418583869934
112,-152.80612516403198
113,-155.67602384090424
114,-142.70408356189728
115,-164.3239827156067
116,-138.3928599357605
117,-152.79337000846863
118,-158.55867648124695
119,-144.17092084884644
120,-170.0892881155014
121,-126.86224722862244
122,-152.79337000846863
123,-148.4821456670761
124,-157.14286041259766
125,-149.92347121238708
126,-162.89541101455688
127,-177.30867648124695
128,-157.10459530353546
129,-160.01275742053986
130,-157.11734902858734
131,-144.1454108953476
132,-154.26020634174347
133,-135.5102070569992
134,-147.02806448936462
135,-136.9515323638916
136,-148.48214519023895
137,-142.71683990955353
138,-145.61224782466888
139,-157.13010478019714
140,-164.33673763275146
141,-142.7423496246338
142,-147.0408195257187
143,-151.3392881155014
144,-152.81888020038605
145,-175.86734986305237
146,-151.35204339027405
147,-160.03826785087585
148,-162.88265597820282
149,-167.21939074993134
150,-149.9234721660614
151,-160.00000286102295
152,-152.78061509132385
153,-170.1020438671112
154,-148.4566354751587
155,-152.79337000846863
156,-147.0408192873001
157,-123.99234938621521
158,-155.7015335559845
159,-145.58673739433289
160,-155.67602288722992
161,-158.57143092155457
162,-164.3112269639969
163,-157.15561425685883
164,-149.91071736812592
165,-155.68877828121185
166,-152.80612516403198
167,-138.36734998226166
168,-158.58418667316437
169,-164.3239824771881
170,-164.3239824771881
171,-145.6122475862503
172,-151.37755417823792
173,-139.8214316368103
174,-162.9081654548645
175,-139.83418583869934
176,-172.98469603061676
177,-157.11734926700592
178,-154.23469710350037
179,-167.19387984275818
180,-139.83418607711792
181,-131.17347133159637
182,-162.8954107761383
183,-157.11735022068024
184,-151.36479783058167
185,-149.92347145080566
186,-170.07653319835663
187,-158.55867648124695
188,-151.3647985458374
189,-161.4540845155716
190,-157.13010501861572
191,-151.36479878425598
192,-148.46939027309418
193,-154.23469638824463
194,-152.80612540245056
195,-157.13010501861572
196,-148.4693900346756
197,-155.68877828121185
198,-138.38010478019714
199,-167.2576560974121
200,-160.01275765895844
201,-167.21939074993134
202,-162.86989986896515
203,-158.5586757659912
204,-158.5586757659912
205,-154.2602070569992
206,-155.68877828121185
207,-165.7653088569641
208,-161.4540845155716
209,-164.32398128509521
210,-158.58418571949005
211,-152.79337000846863
212,-161.46683931350708
213,-135.51020658016205
214,-152.79336953163147
215,-147.0280637741089
216,-151.33928835391998
217,-162.88265645503998
218,-168.66071689128876
219,-148.4693900346756
220,-147.04081881046295
221,-148.4566354751587
222,-161.44132912158966
223,-148.48214542865753
224,-172.971941947937
225,-178.72449231147766
226,-164.32398200035095
227,-155.68877828121185
228,-144.1454108953476
229,-149.92347192764282
230,-164.31122767925262
231,-154.2346966266632
232,-149.92347192764282
233,-151.3647985458374
234,-160.01275837421417
235,-144.1326562166214
236,-164.31122744083405
237,-154.24745094776154
238,-141.288267493248
239,-157.13010430335999
240,-165.76530838012695
241,-152.79337000846863
242,-161.45408523082733
243,-178.73724746704102
244,-165.7653088569641
245,-152.78061485290527
246,-160.01275837421417
247,-162.89541101455688
248,-162.8699005842209
249,-168.64796149730682
250,-175.85459458827972
251,-139.82143092155457
252,-154.23469591140747
253,-164.32398223876953
254,-148.4693900346756
255,-167.2066353559494
256,-144.15816593170166
257,-187.41071724891663
258,-145.61224734783173
259,-162.88265526294708
260,-147.0408192873001
261,-154.26020729541779
262,-147.0280635356903
263,-141.27551329135895
264,-139.83418655395508
265,-157.14285969734192
266,-131.19898200035095
267,-147.05357420444489
268,-161.4668390750885
269,-170.11479902267456
270,-164.3112279176712
271,-162.90816593170166
272,-155.688778758049
273,-141.26275825500488
274,-145.5994930267334
275,-162.88265550136566
276,-121.1224513053894
277,-160.0000033378601
278,-154.24745190143585
279,-145.5867371559143
280,-162.89541125297546
281,-145.58673763275146
282,-162.90816593170166
283,-152.8188797235489
284,-148.46939027309418
285,-149.93622756004333
286,-145.59949254989624
287,-162.89541125297546
288,-144.15816569328308
289,-158.57143115997314
290,-178.76275765895844
291,-145.5867371559143
292,-162.88265454769135
293,-149.93622708320618
294,-158.57143092155457
295,-151.36479926109314
296,-162.8954107761383
297,-141.27551329135895
298,-171.53061437606812
299,-141.27551209926605
300,-157.14285945892334
301,-136.95153260231018
302,-147.05357348918915
303,-141.2755116224289
304,-155.70153307914734
305,-145.59949254989624
306,-165.76530933380127
307,-157.11734998226166
308,-157.15561544895172
309,-142.71683943271637
310,-134.06888020038605
311,-148.4821456670761
312,-134.05612468719482
313,-148.4821459054947
314,-142.7168389558792
315,-141.26275730133057
316,-144.17092061042786
317,-170.10204339027405
318,-144.14540994167328
319,-183.04847157001495
320,-160.0127581357956
321,-134.06888043880463
322,-157.11734926700592
323,-136.96428847312927
324,-161.44132959842682
325,-147.02806448936462
326,-141.27551233768463
327,-165.77806317806244
328,-145.59949278831482
329,-132.61479878425598
330,-148.48214614391327
331,-148.46938979625702
332,-142.70408475399017
333,-154.247452378273
334,-144.17092156410217
335,-144.1326550245285
336,-155.66326785087585
337,-147.05357348918915
338,-136.95153284072876
339,-160.01275742053986
340,-136.95153331756592
341,-128.29081869125366
342,-177.321431517601
343,-141.26275753974915
344,-141.2755128145218
345,-147.05357468128204
346,-148.45663571357727
347,-149.92347240447998
348,-168.6734721660614
349,-159.98724794387817
350,-157.14285969734192
351,-157.15561425685883
352,-170.10204362869263
353,-136.95153260231018
354,-162.90816593170166
355,-145.61224710941315
356,-155.70153164863586
357,-154.24745213985443
358,-162.86990082263947
359,-161.4668402671814
360,-151.36479878425598
361,-170.1020429134369
362,-162.88265526294708
363,-144.18367564678192
364,-141.30102276802063
365,-159.98724818229675
366,-168.6734721660614
367,-158.59694182872772
368,-138.38010430335999
369,-165.76530814170837
370,-128.30357348918915
371,-123.99234938621521
372,-148.4821456670761
373,-154.24745166301727
374,-158.58418691158295
375,-157.14286041259766
376,-151.36479949951172
377,-138.40561485290527
378,-145.58673739433289
379,-158.57143092155457
380,-142.70408356189728
381,-139.83418583869934
382,-172.98469698429108
383,-151.35204362869263
384,-116.77296125888824
385,-132.64030826091766
386,-155.66326785087585
387,-151.35204315185547
388,-155.67602241039276
389,-147.04081976413727
390,-147.05357372760773
391,-149.91071712970734
392,-170.0765334367752
393,-161.4540845155716
394,-147.02806329727173
395,-128.31632912158966
396,-131.1862268447876
397,-147.02806448936462
398,-164.32398176193237
399,-155.6760231256485
400,-162.88265597820282
401,-155.6760231256485
402,-151.37755393981934
403,-148.45663619041443
404,-157.10459434986115
405,-139.8341863155365
406,-139.83418655395508
407,-167.2321447134018
408,-157.14286041259766
409,-141.27551329135895
410,-132.6147985458374
411,-165.7908192873001
412,-144.1454108953476
413,-147.0408195257187
414,-160.01275861263275
415,-164.3112269639969
416,-167.21938979625702
417,-141.2755125761032
418,-144.14541113376617
419,-167.20663559436798
420,-148.4693900346756
421,-132.62755393981934
422,-152.8316353559494
423,-157.11734998226166
424,-157.14285969734192
425,-145.59949254989624
426,-139.82143115997314
427,-134.05612516403198
428,-142.71683990955353
429,-165.76530957221985
430,-162.86990106105804
431,-172.9846967458725
432,-148.4949004650116
433,-158.55867648124695
434,-149.92347192764282
435,-152.79336881637573
436,-161.46683931350708
437,-147.0663287639618
438,-164.34949243068695
439,-145.5994930267334
440,-160.0000033378601
441,-157.14285969734192
442,-145.5867371559143
443,-158.57143187522888
444,-151.35204243659973
445,-167.21939051151276
446,-167.19388031959534
447,-148.46938979625702
448,-155.68877828121185
449,-155.68877828121185
450,-136.9515323638916
451,-164.32398200035095
452,-158.54592049121857
453,-145.59949207305908
454,-135.51020658016205
455,-144.14541065692902
456,-141.2755128145218
457,-145.59949326515198
458,-161.46683859825134
459,-154.23469638824463
460,-148.4949004650116
461,-138.40561509132385
462,-151.35204362869263
463,-162.8954107761383
464,-155.6887778043747
465,-145.5867371559143
466,-151.37755298614502
467,-162.90816593170166
468,-161.42857456207275
469,-155.71428894996643
470,-170.08928787708282
471,-155.6632685661316
472,-144.15816593170166
473,-138.39285945892334
474,-160.0000021457672
475,-147.04081881046295
476,-136.96428894996643
477,-162.89541053771973
478,-152.81888043880463
479,-155.67602360248566
480,-128.30357372760773
481,-148.4821459054947
482,-148.4821456670761
483,-145.61224782466888
484,-151.3520438671112
485,-172.97194170951843
486,-151.36479830741882
487,-142.70408427715302
488,-145.59949254989624
489,-160.0382673740387
490,-165.79082000255585
491,-155.67602264881134
492,-135.51020634174347
493,-148.4821456670761
494,-162.8699005842209
495,-160.01275765895844
496,-142.7295949459076
497,-144.14541137218475
498,-158.57143139839172
499,-151.3647985458374
500,-155.70153331756592
501,-148.48214519023895
502,-136.93877851963043
503,-144.17092084884644
504,-138.40561437606812
505,-160.01275765895844
506,-154.23469614982605
507,-155.67602241039276
508,-145.58673739433289
509,-162.8699003458023
510,-158.54592144489288
511,-144.14541041851044
512,-158.5586760044098
513,-142.7040845155716
514,-134.05612468719482
515,-142.70408427715302
516,-131.21173679828644
517,-139.82143139839172
518,-149.9234721660614
519,-139.8214304447174
520,-170.08928906917572
521,-167.20663559436798
522,-126.84949254989624
523,-142.71683967113495
524,-142.71683943271637
525,-141.25000286102295
526,-148.45663499832153
527,-128.30357325077057
528,-151.36479878425598
529,-147.05357372760773
530,-141.26275730133057
531,-157.11734998226166
532,-144.15816617012024
533,-147.05357444286346
534,-141.26275825500488
535,-168.66071689128876
536,-144.14541065692902
537,-157.1045948266983
538,-154.24745190143585
539,-155.714289188385
540,-165.77806389331818
541,-142.71683847904205
542,-138.40561437606812
543,-161.4413298368454
544,-131.1734720468521
545,-142.71683967113495
546,-155.68877804279327
547,-145.58673763275146
548,-142.6913297176361
549,-145.58673691749573
550,-138.39285969734192
551,-139.8214316368103
552,-135.49745166301727
553,-136.9387778043747
554,-142.75510442256927
555,-151.37755346298218
556,-158.58418595790863
557,-138.40561532974243
558,-152.8188797235489
559,-148.46938979625702
560,-152.79337000846863
561,-158.5714316368103
562,-125.42092084884644
563,-164.32398319244385
564,-158.55867648124695
565,-155.67602336406708
566,-148.4566352367401
567,-167.20663607120514
568,-139.82143139839172
569,-168.66071689128876
570,-148.46939098834991
571,-142.7040845155716
572,-151.37755393981934
573,-155.68877828121185
574,-151.39030921459198
575,-132.61479806900024
576,-157.1428599357605
577,-165.76530861854553
578,-142.71683967113495
579,-131.19898176193237
580,-161.44132912158966
581,-147.04081881046295
582,-152.81888043880463
583,-160.02551305294037
584,-162.92092072963715
585,-151.37755417823792
586,-136.95153307914734
587,-145.5994918346405
588,-152.80612516403198
589,-151.3647985458374
590,-161.44132912158966
591,-160.0000021457672
592,-154.2346966266632
593,-155.688778758049
594,-139.82143092155457
595,-165.7780636548996
596,-145.59949254989624
597,-149.9362277984619
598,-131.1862268447876
599,-148.48214495182037
600,-145.5994930267334
601,-134.0688794851303
602,-134.06888020038605
603,-152.81888043880463
604,-145.59949278831482
605,-134.06888020038605
606,-162.8954107761383
607,-132.6403089761734
608,-144.1709213256836
609,-142.70408403873444
610,-147.01530861854553
611,-145.59949278831482
612,-160.01275742053986
613,-154.22194123268127
614,-138.40561509132385
615,-149.89796221256256
616,-147.0408192873001
617,-138.38010430335999
618,-162.92092096805573
619,-149.91071736812592
620,-151.37755417823792
621,-141.27551329135895
622,-141.27551329135895
623,-145.59949278831482
624,-135.5102070569992
625,-184.50255370140076
626,-147.0408192873001
627,-162.88265597820282
628,-147.02806425094604
629,-161.45408499240875
630,-138.38010478019714
631,-142.69132947921753
632,-151.36479878425598
633,-144.18367636203766
634,-145.58673739433289
635,-157.13010478019714
636,-131.18622708320618
637,-162.90816617012024
638,-180.17857372760773
639,-141.28826797008514
640,-134.0688794851303
641,-135.51020681858063
642,-139.8086760044098
643,-149.93622660636902
644,-148.46939027309418
645,-138.38010430335999
646,-142.71683990955353
647,-134.05612516403198
648,-126.84949254989624
649,-147.02806425094604
650,-144.1709213256836
651,-139.83418703079224
652,-148.4821447134018
653,-158.5841861963272
654,-147.04081857204437
655,-142.71683967113495
656,-135.52296090126038
657,-152.79337000846863
658,-145.58673667907715
659,-154.2602070569992
660,-145.5994930267334
661,-129.7321447134018
662,-148.50765538215637
663,-147.0280637741089
664,-122.55102276802063
665,-139.84694111347198
666,-157.13010478019714
667,-141.2755125761032
668,-135.51020658016205
669,-136.93877828121185
670,-147.0408192873001
671,-154.24745166301727
672,-148.46939074993134
673,-158.5841861963272
674,-132.6147985458374
675,-125.40816617012024
676,-141.28826773166656
677,-141.26275777816772
678,-167.21939051151276
679,-138.39285922050476
680,-145.58673810958862
681,-160.0255137681961
682,-147.05357372760773
683,-158.57143115997314
684,-136.93877828121185
685,-154.2346968650818
686,-144.14541065692902
687,-136.93877828121185
688,-148.46939051151276
689,-151.3520438671112
690,-154.24745047092438
691,-147.04081881046295
692,-151.37755346298218
693,-131.18622708320618
694,-132.6147985458374
695,-144.14541065692902
696,-138.3801052570343
697,-145.58673691749573
698,-149.91071736812592
699,-157.10459506511688
700,-152.7933704853058
701,-154.23469734191895
702,-125.43367528915405
703,-164.33673787117004
704,-116.7729617357254
705,-147.02806425094604
706,-134.05612540245056
707,-158.54592144489288
708,-151.35204339027405
709,-141.26275730133057
710,-151.3520426750183
711,-136.9642882347107
712,-136.9642882347107
713,-158.57143187522888
714,-141.30102276802063
715,-152.7933692932129
716,-158.57143115997314
717,-138.40561485290527
718,-141.28826773166656
719,-144.14541137218475
720,-141.27551305294037
721,-157.11734998226166
722,-148.5076560974121
723,-142.70408308506012
724,-139.84694159030914
725,-125.42092037200928
726,-135.51020681858063
727,-141.26275825500488
728,-145.5994930267334
729,-145.58673787117004
730,-141.26275753974915
731,-147.01530957221985
732,-145.61224806308746
733,-152.83163583278656
734,-158.5459202528
735,-155.688778758049
736,-134.05612540245056
737,-132.61479878425598
738,-122.53826749324799
739,-152.81888020038605
740,-136.93877804279327
741,-151.37755346298218
742,-141.26275777816772
743,-141.26275730133057
744,-142.71683990955353
745,-147.0280635356903
746,-141.2755125761032
747,-134.0816353559494
748,-154.2346966266632
749,-145.58673739433289
750,-152.78061532974243
751,-136.95153331756592
752,-165.7780646085739
753,-158.57143187522888
754,-134.0433702468872
755,-161.45408523082733
756,-148.4821456670761
757,-151.3520438671112
758,-129.7321459054947
759,-151.3520438671112
760,-158.57143115997314
761,-128.30357372760773
762,-158.58418715000153
763,-155.6760231256485
764,-136.92602336406708
765,-141.26275777816772
766,-147.0408192873001
767,-152.7933704853058
768,-148.46939051151276
769,-148.46939051151276
770,-139.8341863155365
771,-164.33673763275146
772,-141.25000286102295
773,-123.9795937538147
774,-138.38010478019714
775,-141.2627568244934
776,-136.95153379440308
777,-152.80612516403198
778,-142.7168401479721
779,-131.19898176193237
780,-132.62755346298218
781,-160.02551305294037
782,-135.51020681858063
783,-144.14541137218475
784,-147.04081881046295
785,-128.29081869125366
786,-126.86224722862244
787,-116.76020634174347
788,-132.64030849933624
789,-129.74490106105804
790,-148.46939027309418
791,-154.24745166301727
792,-151.36479878425598
793,-136.95153307914734
794,-132.62755370140076
795,-138.39285969734192
796,-170.08928906917572
797,-151.33928859233856
798,-149.91071665287018
799,-128.29081892967224
800,-151.36479878425598
801,-170.1020438671112
802,-147.01530957221985
803,-151.3647985458374
804,-152.81888020038605
805,-142.71683943271637
806,-134.08163511753082
807,-152.81888043880463
808,-155.688778758049
809,-138.38010454177856
810,-138.38010478019714
811,-145.58673763275146
812,-138.39285922050476
813,-136.92602336406708
814,-126.84949207305908
815,-132.6403089761734
816,-141.30102348327637
817,-154.2602070569992
818,-134.0561249256134
819,-147.0153090953827
820,-129.73214519023895
821,-138.3928599357605
822,-152.8188806772232
823,-139.82143139839172
824,-135.49745166301727
825,-144.14541161060333
826,-136.96428799629211
827,-129.7321456670761
828,-135.49745166301727
829,-135.51020658016205
830,-145.58673739433289
831,-123.97959446907043
832,-148.4566352367401
833,-128.29081916809082
834,-139.82143115997314
835,-149.91071736812592
836,-135.51020681858063
837,-116.77296125888824
838,-139.83418607711792
839,-147.02806401252747
840,-148.48214614391327
841,-149.91071712970734
842,-134.05612564086914
843,-161.44132959842682
844,-152.7933702468872
845,-135.51020658016205
846,-155.663268327713
847,-149.9489824771881
848,-142.7040845155716
849,-161.46683955192566
850,-125.42092061042786
851,-164.3239824771881
852,-131.1734722852707
853,-135.51020658016205
854,-139.82143092155457
855,-152.78061509132385
856,-125.44643104076385
857,-141.27551305294037
858,-132.6147985458374
859,-139.8341863155365
860,-149.9234721660614
861,-136.92602336406708
862,-149.9107176065445
863,-149.91071689128876
864,-151.37755393981934
865,-138.39285922050476
866,-139.8341863155365
867,-162.90816617012024
868,-119.66837012767792
869,-142.70408380031586
870,-152.8061249256134
871,-145.5867371559143
872,-141.27551186084747
873,-145.5867371559143
874,-142.71683967113495
875,-139.83418607711792
876,-126.86224746704102
877,-148.48214519023895
878,-129.7449003458023
879,-152.80612444877625
880,-138.40561485290527
881,-148.48214519023895
882,-139.8341863155365
883,-139.84694135189056
884,-138.3928599357605
885,-141.26275753974915
886,-181.6071459054947
887,-142.70408427715302
888,-155.67602288722992
889,-160.00000309944153
890,-154.24745213985443
891,-119.65561509132385
892,-157.13010478019714
893,-125.3954108953476
894,-144.15816617012024
895,-148.4821459054947
896,-145.58673763275146
897,-131.18622636795044
898,-126.86224746704102
899,-154.23469710350037
900,-129.7321447134018
901,-142.71683990955353
902,-139.83418655395508
903,-158.5714316368103
904,-116.77296149730682
905,-121.08418583869934
906,-144.14541113376617
907,-131.16071689128876
908,-126.8622477054596
909,-149.92347192764282
910,-142.7040845155716
911,-147.02806448936462
912,-142.70408380031586
913,-141.2627568244934
914,-129.75765562057495
915,-151.36479902267456
916,-147.0153088569641
917,-126.86224722862244
918,-145.5994930267334
919,-158.5841864347458
920,-139.82143115997314
921,-142.70408475399017
922,-147.02806425094604
923,-135.5102070569992
924,-122.53826797008514
925,-170.08928859233856
926,-138.39285945892334
927,-151.3775544166565
928,-131.17347157001495
929,-165.7653090953827
930,-154.2474526166916
931,-129.7449005842209
932,-128.29081916809082
933,-144.15816593170166
934,-160.01275837421417
935,-136.96428847312927
936,-162.89541101455688
937,-131.16071689128876
938,-134.06888020038605
939,-144.14541113376617
940,-136.95153331756592
941,-149.9362268447876
942,-154.2474514245987
943,-139.82143092155457
944,-134.0561249256134
945,-164.32398295402527
946,-128.29081845283508
947,-132.64030873775482
948,-121.0841863155365
949,-145.59949207305908
950,-134.06887996196747
951,-135.5102061033249
952,-148.4821456670761
953,-138.4183703660965
954,-145.58673763275146
955,-145.6122475862503
956,-122.52551257610321
