Episode,Reward,Violations,Invalid_Assignments,Non_Violated_Assignments
1,8990.0,27,27,1149
2,8320.0,37,37,1139
3,8100.0,36,36,1140
4,6920.0,52,52,1124
5,5750.0,71,71,1105
6,4330.0,83,83,1093
7,7190.0,47,47,1129
8,6770.0,56,56,1120
9,8100.0,36,36,1140
10,7510.0,41,41,1135
11,9790.0,19,19,1157
12,6410.0,57,57,1119
13,8750.0,31,31,1145
14,8630.0,31,31,1145
15,8150.0,35,35,1141
16,7150.0,47,47,1129
17,9440.0,23,23,1153
18,7930.0,39,39,1137
19,9370.0,23,23,1153
20,8360.0,32,32,1144
21,7980.0,38,38,1138
22,8710.0,31,31,1145
23,8410.0,35,35,1141
24,7810.0,39,39,1137
25,7260.0,45,45,1131
26,8950.0,27,27,1149
27,9070.0,27,27,1149
28,7620.0,43,43,1133
29,7970.0,37,37,1139
30,7700.0,40,40,1136
31,8180.0,34,34,1142
32,7180.0,45,45,1131
33,7320.0,44,44,1132
34,9480.0,22,22,1154
35,9140.0,27,27,1149
36,9450.0,23,23,1153
37,8090.0,38,38,1138
38,7380.0,42,42,1134
39,9110.0,25,25,1151
40,9850.0,19,19,1157
41,7760.0,38,38,1138
42,8150.0,35,35,1141
43,8300.0,34,34,1142
44,9150.0,25,25,1151
45,7280.0,48,48,1128
46,8860.0,28,28,1148
47,8950.0,27,27,1149
48,9080.0,26,26,1150
49,8320.0,34,34,1142
50,8780.0,30,30,1146
51,9440.0,22,22,1154
52,7760.0,40,40,1136
53,9420.0,22,22,1154
54,9010.0,27,27,1149
55,8780.0,30,30,1146
56,9530.0,21,21,1155
57,8400.0,34,34,1142
58,7270.0,46,46,1130
59,9210.0,25,25,1151
60,8860.0,28,28,1148
61,8760.0,30,30,1146
62,9510.0,21,21,1155
63,9080.0,26,26,1150
64,9750.0,19,19,1157
65,9350.0,23,23,1153
66,7950.0,37,37,1139
67,8160.0,36,36,1140
68,9660.0,21,21,1155
69,8460.0,32,32,1144
70,8610.0,31,31,1145
71,8050.0,37,37,1139
72,9230.0,25,25,1151
73,8690.0,31,31,1145
74,8420.0,34,34,1142
75,8230.0,38,38,1138
76,7630.0,41,41,1135
77,7740.0,41,41,1135
78,8750.0,29,29,1147
79,8990.0,27,27,1149
80,9720.0,20,20,1156
81,8070.0,39,39,1137
82,8210.0,35,35,1141
83,9050.0,27,27,1149
84,7760.0,38,38,1138
85,8640.0,32,32,1144
86,8440.0,32,32,1144
87,9400.0,22,22,1154
88,8940.0,28,28,1148
89,7790.0,39,39,1137
90,9730.0,19,19,1157
91,8520.0,36,36,1142
92,8550.0,31,31,1145
93,8250.0,33,33,1143
94,8110.0,37,37,1139
95,7640.0,42,42,1134
96,8360.0,34,34,1142
97,8950.0,28,28,1148
98,8920.0,28,28,1148
99,9540.0,22,22,1154
100,7860.0,38,38,1138
101,8150.0,35,35,1141
102,8660.0,30,30,1146
103,9140.0,27,27,1149
104,9180.0,24,24,1152
105,8070.0,41,41,1135
106,8210.0,35,35,1141
107,8500.0,32,32,1144
108,7890.0,39,39,1137
109,8680.0,30,30,1146
110,9340.0,24,24,1152
111,8490.0,33,33,1143
112,8490.0,31,31,1145
113,8320.0,34,34,1142
114,8850.0,28,28,1148
115,8380.0,33,33,1143
116,9010.0,27,27,1149
117,9070.0,27,27,1149
118,8690.0,29,29,1147
119,9240.0,24,24,1152
120,8960.0,28,28,1148
121,8430.0,33,33,1143
122,9120.0,25,25,1151
123,7990.0,37,37,1139
124,9990.0,17,17,1159
125,8290.0,33,33,1143
126,8510.0,33,33,1143
127,6940.0,53,53,1123
128,7920.0,42,42,1134
129,9100.0,26,26,1150
130,8970.0,27,27,1149
131,9300.0,24,24,1152
132,8420.0,34,34,1142
133,8340.0,34,34,1142
134,7670.0,43,43,1133
135,8300.0,34,34,1142
136,8020.0,36,36,1140
137,8510.0,32,32,1144
138,8430.0,33,33,1143
139,8850.0,29,29,1147
140,8760.0,30,30,1146
141,8600.0,30,30,1146
142,9680.0,20,20,1156
143,7800.0,39,39,1137
144,7820.0,38,38,1138
145,8440.0,32,32,1144
146,9800.0,18,18,1158
147,8880.0,28,28,1148
148,8440.0,33,33,1143
149,8110.0,35,35,1141
150,9990.0,17,17,1159
151,8170.0,35,35,1141
152,9660.0,20,20,1156
153,8110.0,35,35,1141
154,9230.0,25,25,1151
155,8860.0,28,28,1148
156,8140.0,36,36,1140
157,9100.0,26,26,1150
158,9020.0,26,26,1150
159,9660.0,20,20,1156
160,7550.0,41,41,1135
161,8210.0,35,35,1141
162,8840.0,28,28,1148
163,7530.0,41,41,1135
164,8880.0,28,28,1148
165,8660.0,30,30,1146
166,8490.0,31,31,1145
167,8870.0,29,29,1147
168,8860.0,28,28,1148
169,9930.0,17,17,1159
170,9040.0,26,26,1150
171,9030.0,27,27,1149
172,9210.0,25,25,1151
173,10190.0,15,15,1161
174,8270.0,36,36,1140
175,9310.0,24,24,1152
176,9620.0,20,20,1156
177,9540.0,22,22,1154
178,9260.0,24,24,1152
179,8140.0,36,36,1140
180,9220.0,24,24,1152
181,8490.0,31,31,1145
182,9560.0,22,22,1154
183,6530.0,57,57,1119
184,7660.0,40,40,1136
185,9030.0,27,27,1149
186,8410.0,34,34,1142
187,8450.0,33,33,1143
188,9600.0,20,20,1156
189,8160.0,34,34,1142
190,7860.0,38,38,1138
191,8460.0,32,32,1144
192,8370.0,33,33,1143
193,9290.0,23,23,1153
194,7830.0,37,37,1139
195,8500.0,30,30,1146
196,8770.0,29,29,1147
197,9320.0,24,24,1152
198,9240.0,24,24,1152
199,8300.0,34,34,1142
200,9770.0,19,19,1157
201,9470.0,21,21,1155
202,9360.0,22,22,1154
203,7660.0,40,40,1136
204,9300.0,24,24,1152
205,9470.0,21,21,1155
206,9090.0,25,25,1151
207,9610.0,21,21,1155
208,8500.0,30,30,1146
209,8980.0,26,26,1150
210,7760.0,40,40,1136
211,9130.0,25,25,1151
212,9120.0,26,26,1150
213,8290.0,35,35,1141
214,8510.0,31,31,1145
215,8710.0,29,29,1147
216,9420.0,22,22,1154
217,8400.0,32,32,1144
218,9120.0,26,26,1150
219,8880.0,28,28,1148
220,8610.0,31,31,1145
221,9310.0,25,25,1151
222,10080.0,16,16,1160
223,9280.0,24,24,1152
224,9660.0,20,20,1156
225,8510.0,32,32,1144
226,8890.0,27,27,1149
227,8960.0,28,28,1148
228,9680.0,20,20,1156
229,8930.0,28,28,1148
230,9400.0,22,22,1154
231,9630.0,21,21,1155
232,8860.0,29,29,1147
233,9090.0,25,25,1151
234,8890.0,27,27,1149
235,9440.0,22,22,1154
236,9200.0,24,24,1152
237,8750.0,29,29,1147
238,9340.0,24,24,1152
239,8940.0,26,26,1150
240,8690.0,29,29,1147
241,8470.0,31,31,1145
242,9710.0,19,19,1157
243,9110.0,26,26,1150
244,8820.0,28,28,1148
245,9170.0,25,25,1151
246,8690.0,31,31,1145
247,8890.0,28,28,1148
248,9200.0,24,24,1152
249,8700.0,30,30,1146
250,8110.0,35,35,1141
251,8420.0,32,32,1144
252,9040.0,26,26,1150
253,9400.0,22,22,1154
254,8440.0,32,32,1144
255,9910.0,17,17,1159
256,8680.0,30,30,1146
257,9070.0,25,25,1151
258,9330.0,23,23,1153
259,8580.0,35,35,1144
260,9770.0,19,19,1157
261,9620.0,20,20,1156
262,9110.0,25,25,1151
263,8680.0,32,32,1144
264,9030.0,27,27,1149
