Episode,Reward,Violations,Unassigned_Positions,Non_Violated_Assignments
227,9100.0,37,6,1146
228,10630.0,26,1,1153
229,9760.0,33,6,1146
230,9980.0,29,4,1151
231,9240.0,45,3,1139
232,10900.0,20,2,1157
233,9770.0,33,5,1147
234,9330.0,39,6,1142
235,10190.0,32,1,1149
236,9020.0,35,8,1147
237,10370.0,27,6,1149
238,9400.0,38,7,1142
239,9980.0,31,5,1148
240,10380.0,32,1,1148
241,10480.0,35,2,1143
242,9790.0,32,4,1149
243,10740.0,21,2,1157
244,9690.0,29,4,1153
245,9860.0,30,6,1149
246,8380.0,48,6,1138
247,9620.0,35,8,1143
248,10610.0,28,2,1150
249,10230.0,31,3,1148
250,7910.0,52,9,1134
251,9510.0,44,0,1141
252,10090.0,26,6,1152
253,10240.0,32,4,1146
254,9540.0,36,4,1146
255,9780.0,33,3,1149
256,10370.0,25,5,1152
257,9130.0,37,8,1144
258,9840.0,31,5,1149
259,10000.0,31,7,1146
260,8950.0,39,9,1142
261,10090.0,25,5,1154
262,8180.0,46,5,1143
263,8790.0,38,7,1146
264,10670.0,24,1,1155
265,9450.0,39,3,1144
266,9340.0,36,2,1151
267,9720.0,29,7,1150
268,9200.0,38,5,1145
269,9810.0,38,5,1141
270,11120.0,16,1,1161
271,8050.0,52,4,1139
272,9490.0,32,4,1151
273,9670.0,32,5,1149
274,9010.0,41,5,1143
275,10090.0,32,4,1147
276,10240.0,25,4,1154
277,9710.0,30,7,1149
278,10140.0,24,7,1153
279,10230.0,33,6,1143
280,8620.0,45,4,1142
281,10000.0,36,4,1143
282,11070.0,26,1,1150
283,9070.0,39,6,1144
284,10350.0,20,4,1159
285,10240.0,32,3,1147
286,9660.0,31,5,1150
287,10830.0,23,3,1153
288,11330.0,14,1,1162
289,8810.0,38,8,1145
290,9950.0,33,7,1144
291,8870.0,39,4,1147
292,10540.0,24,4,1153
293,10700.0,23,1,1156
294,10240.0,30,3,1149
295,10550.0,25,4,1152
296,8510.0,43,4,1145
297,8330.0,45,3,1145
298,10420.0,23,2,1157
299,10410.0,23,2,1157
300,7430.0,60,5,1132
301,10380.0,18,6,1159
302,9860.0,30,7,1148
303,9760.0,33,2,1150
304,8630.0,39,5,1148
305,10020.0,21,6,1158
306,10060.0,32,3,1148
307,9240.0,38,6,1144
308,10320.0,27,2,1153
309,10320.0,26,1,1155
310,9270.0,35,4,1149
311,9350.0,37,4,1146
312,10070.0,26,4,1154
313,10030.0,34,3,1146
314,10420.0,24,5,1153
315,10080.0,32,3,1148
316,10200.0,33,1,1148
317,10480.0,27,4,1150
318,10620.0,28,3,1149
319,8460.0,40,6,1147
320,9080.0,33,9,1148
321,10500.0,27,3,1151
322,9780.0,32,3,1150
323,9350.0,35,10,1143
324,7960.0,54,5,1136
325,9960.0,30,6,1148
326,10170.0,29,5,1149
327,7860.0,55,5,1135
328,10350.0,27,4,1151
329,10570.0,35,1,1143
330,9380.0,44,3,1139
331,10320.0,27,2,1153
332,9740.0,36,6,1143
333,10440.0,29,3,1149
334,8990.0,49,5,1134
335,10960.0,18,1,1160
336,10060.0,27,4,1153
337,9820.0,31,4,1150
338,10560.0,31,2,1147
339,10260.0,24,5,1154
340,10050.0,34,6,1143
341,10970.0,18,2,1159
342,9270.0,42,3,1142
343,9560.0,36,5,1145
344,10370.0,31,0,1150
345,9600.0,34,4,1148
346,9670.0,31,6,1149
347,9680.0,35,1,1149
348,9550.0,36,4,1146
349,9420.0,41,2,1143
350,10270.0,30,3,1149
351,9520.0,32,6,1149
352,9840.0,24,6,1156
353,9060.0,46,4,1138
354,9490.0,35,2,1149
355,10250.0,31,2,1149
356,10200.0,33,4,1145
357,9290.0,35,4,1149
358,9790.0,26,6,1154
359,9420.0,42,3,1141
360,10380.0,25,4,1153
361,9450.0,33,1,1153
362,9540.0,36,4,1146
363,7440.0,60,6,1131
364,8940.0,52,5,1131
365,9640.0,38,2,1145
366,9870.0,28,3,1154
367,8230.0,51,4,1138
368,10080.0,26,5,1153
369,9700.0,36,3,1146
370,9670.0,38,5,1142
371,9800.0,32,6,1147
372,10520.0,26,4,1151
373,8990.0,42,5,1142
374,9230.0,43,4,1142
375,9810.0,30,1,1154
376,9510.0,38,3,1145
377,9210.0,46,3,1138
378,10300.0,29,3,1150
379,10410.0,30,3,1148
380,10980.0,23,0,1155
381,9400.0,43,2,1141
382,9970.0,31,5,1148
383,10240.0,30,3,1149
384,9940.0,32,5,1147
385,9020.0,47,5,1136
386,9910.0,39,1,1143
387,9940.0,30,4,1150
388,10590.0,28,2,1150
389,8560.0,48,3,1140
390,9680.0,30,8,1148
391,9690.0,34,2,1149
392,10380.0,32,1,1148
393,10050.0,32,2,1149
394,10130.0,35,1,1146
395,9330.0,40,3,1144
396,10180.0,26,3,1154
397,10570.0,22,1,1158
398,10370.0,33,3,1145
399,10180.0,34,1,1147
400,10270.0,23,3,1157
401,10050.0,33,1,1149
402,8840.0,43,6,1141
403,7810.0,49,6,1141
404,10010.0,35,2,1146
405,8060.0,56,3,1134
406,10300.0,22,4,1157
407,10450.0,28,4,1149
408,10960.0,25,1,1152
409,9700.0,34,1,1150
410,9370.0,45,1,1140
411,10990.0,21,1,1156
412,9770.0,35,6,1144
413,9000.0,42,5,1142
414,8920.0,46,5,1138
415,8950.0,43,5,1141
416,10190.0,26,4,1153
417,9750.0,34,7,1144
418,9560.0,30,6,1151
419,9020.0,48,4,1136
420,7990.0,60,3,1130
421,6440.0,69,3,1133
422,9960.0,32,4,1148
423,8580.0,47,4,1140
424,9740.0,35,6,1144
425,8400.0,47,2,1144
426,10730.0,22,2,1156
427,9290.0,36,7,1145
428,8890.0,45,4,1140
429,10190.0,28,4,1151
430,9020.0,46,4,1138
431,10730.0,22,1,1157
432,8900.0,40,6,1144
433,10720.0,22,1,1157
434,9870.0,35,2,1147
435,9620.0,32,3,1151
436,9760.0,32,2,1151
437,9880.0,27,4,1154
438,10030.0,27,4,1153
439,9690.0,36,3,1146
440,9160.0,40,3,1145
441,9130.0,37,8,1144
442,9850.0,34,1,1149
443,10200.0,26,3,1154
444,8480.0,47,1,1143
445,8830.0,43,3,1144
446,11050.0,20,0,1158
447,9860.0,23,7,1156
448,7990.0,60,0,1137
449,10170.0,28,3,1152
450,8970.0,36,5,1149
451,10790.0,19,3,1158
452,9320.0,41,5,1141
453,9680.0,36,4,1145
454,10240.0,24,4,1155
455,9430.0,43,4,1139
456,9080.0,42,2,1144
457,10280.0,24,5,1154
458,10040.0,34,4,1145
459,9240.0,36,1,1151
460,9880.0,29,6,1150
461,10770.0,20,3,1157
462,9740.0,34,3,1148
463,10590.0,22,4,1155
464,8880.0,40,4,1146
465,9870.0,29,8,1148
466,9820.0,30,2,1153
467,10130.0,29,2,1152
468,9830.0,31,4,1150
469,9770.0,34,5,1146
470,9140.0,42,5,1141
471,9770.0,34,6,1145
472,10780.0,20,3,1157
473,9830.0,29,3,1153
474,9720.0,30,6,1150
475,10400.0,24,4,1154
476,9840.0,29,3,1153
477,10210.0,32,2,1148
478,9730.0,35,4,1146
479,9660.0,33,6,1147
480,8810.0,45,5,1140
481,10510.0,26,3,1152
482,9970.0,31,3,1150
483,10290.0,29,3,1150
484,9160.0,41,4,1143
485,10360.0,25,3,1154
486,8800.0,44,2,1144
487,10920.0,19,0,1160
488,9530.0,30,5,1152
489,9900.0,33,2,1149
490,10590.0,22,3,1156
491,10200.0,35,5,1142
492,9700.0,29,2,1155
493,10220.0,32,3,1147
494,10420.0,30,3,1148
495,9680.0,43,1,1140
496,10560.0,29,0,1151
497,10400.0,30,2,1149
498,10430.0,29,1,1151
499,9500.0,40,4,1142
500,8770.0,45,4,1141
501,10610.0,27,1,1152
502,9370.0,40,8,1139
503,9880.0,33,2,1149
504,9730.0,35,2,1148
505,10250.0,31,4,1147
506,9410.0,43,2,1141
507,10360.0,33,4,1144
508,9910.0,32,2,1150
509,10640.0,20,4,1157
510,10500.0,26,2,1153
511,8800.0,39,1,1153
512,5700.0,82,2,1124
513,8490.0,55,0,1135
514,8800.0,43,6,1141
515,10460.0,28,2,1151
516,10510.0,32,0,1148
517,9660.0,38,4,1143
518,10150.0,28,2,1153
519,10450.0,23,6,1153
520,11090.0,12,2,1165
521,10640.0,25,0,1155
522,9760.0,33,5,1147
523,10320.0,21,5,1157
524,10350.0,27,4,1151
525,10980.0,17,3,1159
526,9250.0,36,2,1150
527,10040.0,27,4,1153
528,10520.0,25,4,1152
529,8440.0,47,5,1140
530,10380.0,30,1,1150
531,10110.0,29,3,1151
532,9180.0,40,4,1144
533,10450.0,27,3,1151
534,9620.0,33,4,1149
535,10170.0,35,3,1144
536,10320.0,27,2,1153
537,10540.0,31,3,1146
538,10100.0,32,5,1146
539,9180.0,41,5,1142
540,9400.0,44,4,1138
541,10600.0,22,5,1154
542,10300.0,29,4,1149
543,9620.0,40,2,1143
544,10760.0,20,3,1157
545,9750.0,40,3,1141
546,10450.0,28,1,1152
547,9590.0,34,5,1147
548,9630.0,33,5,1148
549,11210.0,20,1,1156
550,10350.0,26,2,1154
551,9330.0,46,2,1138
552,10470.0,27,4,1150
553,10340.0,26,2,1154
554,9430.0,36,4,1147
555,10650.0,25,0,1155
556,10010.0,35,3,1145
557,10170.0,34,2,1146
558,10220.0,25,3,1155
559,9680.0,39,5,1141
560,10280.0,28,1,1153
561,10670.0,32,1,1146
562,10440.0,23,4,1155
563,9510.0,32,6,1149
564,9480.0,31,1,1155
565,9950.0,31,2,1151
566,9740.0,35,4,1146
567,8690.0,42,6,1143
568,10010.0,36,2,1145
569,9360.0,39,3,1145
570,9370.0,44,2,1140
571,9900.0,27,6,1152
572,9760.0,40,2,1142
573,10390.0,23,2,1157
574,10380.0,18,6,1159
575,9410.0,36,5,1146
576,10430.0,29,2,1150
577,9680.0,37,2,1146
578,9090.0,44,3,1141
579,10550.0,24,5,1152
580,9130.0,36,6,1147
581,9460.0,35,5,1147
582,9870.0,34,1,1149
583,8110.0,52,2,1141
584,10320.0,22,7,1154
585,10470.0,20,5,1157
586,10060.0,26,4,1154
587,8110.0,46,2,1146
588,10600.0,22,3,1156
589,9810.0,39,4,1141
590,9680.0,38,3,1144
591,10940.0,18,0,1161
592,9860.0,29,4,1152
593,10730.0,22,2,1156
594,10290.0,29,3,1150
595,10610.0,27,1,1152
596,10140.0,36,2,1144
597,10660.0,24,1,1155
598,10550.0,23,1,1157
599,10460.0,27,3,1151
600,8060.0,45,6,1144
601,9810.0,30,2,1153
602,10110.0,29,1,1153
603,9700.0,30,4,1152
604,10630.0,23,2,1156
605,10420.0,22,2,1158
606,9920.0,26,3,1156
607,9320.0,41,5,1141
608,10070.0,26,6,1152
609,10230.0,37,2,1142
610,10210.0,26,2,1155
