Episode,Reward,Violations,Unassigned_Positions,Non_Violated_Assignments
991,10300.0,30,4,1148
992,10630.0,26,1,1153
993,10190.0,33,1,1148
994,9790.0,40,4,1140
995,10490.0,33,1,1146
996,10870.0,23,2,1154
997,9890.0,34,2,1148
998,10070.0,33,2,1148
999,10570.0,17,5,1160
1000,10290.0,35,2,1144
1001,10110.0,31,4,1148
1002,10310.0,28,2,1152
1003,9500.0,40,4,1142
1004,10390.0,25,3,1154
1005,9940.0,31,2,1151
1006,10560.0,23,1,1157
1007,10630.0,26,1,1153
1008,8810.0,44,3,1143
1009,10930.0,20,3,1156
1010,8470.0,52,1,1138
1011,10360.0,25,3,1154
1012,9480.0,35,8,1144
1013,10980.0,23,0,1155
1014,10800.0,25,3,1151
1015,11050.0,21,1,1156
1016,9370.0,45,3,1138
1017,10740.0,28,2,1149
1018,10860.0,22,0,1157
1019,10630.0,27,3,1150
1020,10200.0,33,2,1147
1021,9720.0,29,6,1151
1022,10570.0,21,1,1159
1023,10040.0,27,2,1155
1024,10050.0,26,3,1155
1025,10050.0,26,1,1157
1026,10320.0,33,0,1148
1027,11200.0,20,0,1157
1028,10150.0,29,3,1151
1029,10520.0,31,2,1147
1030,10000.0,36,2,1145
1031,10070.0,25,3,1156
1032,10320.0,28,3,1151
1033,10080.0,32,1,1150
1034,10170.0,28,3,1152
1035,9890.0,34,5,1145
1036,10710.0,22,1,1157
1037,10540.0,25,3,1153
1038,10230.0,32,2,1148
1039,9280.0,34,4,1150
1040,10460.0,28,1,1152
1041,9420.0,42,2,1142
1042,10280.0,29,1,1152
1043,9610.0,40,4,1141
1044,9820.0,37,2,1145
1045,7190.0,68,3,1127
1046,10010.0,28,5,1151
1047,9890.0,34,3,1147
1048,10150.0,29,2,1152
1049,9200.0,39,3,1146
1050,11040.0,20,0,1158
1051,9550.0,29,2,1156
1052,10110.0,35,1,1146
1053,9620.0,34,5,1147
1054,10400.0,25,4,1153
1055,10360.0,24,1,1157
1056,10140.0,30,3,1150
1057,10340.0,32,0,1149
1058,9730.0,33,2,1150
1059,10430.0,29,2,1150
1060,10660.0,25,2,1153
1061,10560.0,22,2,1157
1062,9750.0,40,1,1143
1063,11000.0,16,1,1162
1064,9920.0,33,4,1147
1065,10100.0,31,3,1149
1066,9440.0,34,3,1150
1067,9460.0,41,5,1140
1068,10820.0,24,2,1153
1069,9330.0,34,5,1149
1070,10100.0,32,3,1148
1071,10220.0,25,3,1155
1072,10580.0,28,1,1151
1073,10390.0,31,2,1148
1074,10220.0,32,1,1149
1075,8760.0,39,5,1147
1076,10390.0,30,1,1150
1077,9800.0,31,2,1152
1078,8540.0,53,1,1137
1079,9600.0,40,2,1143
1080,10740.0,21,2,1157
1081,10610.0,21,3,1157
1082,10040.0,33,3,1147
1083,8820.0,43,2,1145
1084,10450.0,22,4,1156
1085,10980.0,17,2,1160
1086,10000.0,41,0,1141
1087,10840.0,22,0,1157
1088,10700.0,24,3,1153
1089,10480.0,27,1,1153
1090,10650.0,19,2,1160
1091,9960.0,31,3,1150
1092,10990.0,23,1,1154
1093,10330.0,33,2,1146
1094,10270.0,23,3,1157
1095,9830.0,35,1,1148
1096,9840.0,29,3,1153
1097,10730.0,29,0,1150
1098,10510.0,25,2,1154
1099,8890.0,45,1,1143
1100,10700.0,18,5,1158
1101,10350.0,27,4,1151
1102,10440.0,22,3,1157
1103,9600.0,41,3,1141
1104,10400.0,30,0,1151
1105,10470.0,27,3,1151
1106,9930.0,31,4,1149
1107,10700.0,22,1,1157
1108,10130.0,29,2,1152
1109,9610.0,42,5,1138
1110,10970.0,23,0,1155
1111,10740.0,22,3,1155
1112,8950.0,43,3,1143
1113,10070.0,26,5,1153
1114,9680.0,30,3,1153
1115,10610.0,21,3,1157
1116,10420.0,30,3,1148
1117,10380.0,24,2,1156
1118,10790.0,19,2,1159
1119,10020.0,34,0,1149
1120,10970.0,17,1,1161
1121,9790.0,31,3,1151
1122,9700.0,36,2,1147
1123,9750.0,34,4,1147
1124,10010.0,34,1,1148
1125,10020.0,34,1,1148
1126,10550.0,30,1,1149
1127,9360.0,40,5,1142
1128,10110.0,36,2,1144
1129,10720.0,22,1,1157
1130,9830.0,36,1,1147
1131,10290.0,29,1,1152
1132,10120.0,29,0,1154
1133,9830.0,36,1,1147
1134,10060.0,32,2,1149
1135,10990.0,22,1,1155
1136,9680.0,36,0,1149
1137,10360.0,25,1,1156
1138,9690.0,36,2,1147
1139,10200.0,33,2,1147
1140,10720.0,29,0,1150
1141,10480.0,27,2,1152
1142,10630.0,26,1,1153
1143,11330.0,21,0,1155
1144,10610.0,28,4,1148
1145,10200.0,26,3,1154
1146,10790.0,25,2,1152
1147,10770.0,20,1,1159
1148,10220.0,32,2,1148
1149,10480.0,35,3,1142
1150,10550.0,31,2,1147
1151,10440.0,28,1,1152
1152,10040.0,32,2,1149
1153,10310.0,27,2,1153
1154,10320.0,27,2,1153
1155,10560.0,23,1,1157
1156,10720.0,29,1,1149
1157,10620.0,27,0,1153
1158,10890.0,14,1,1165
1159,9520.0,37,2,1147
1160,10690.0,24,3,1153
1161,10790.0,25,0,1154
1162,9170.0,40,3,1145
1163,10420.0,22,2,1158
1164,11100.0,18,0,1160
1165,10670.0,25,2,1153
1166,10470.0,28,3,1150
1167,10730.0,21,1,1158
1168,9480.0,33,4,1150
1169,10700.0,24,2,1154
1170,10260.0,31,3,1148
1171,11000.0,23,1,1154
1172,9660.0,38,4,1143
1173,10260.0,37,0,1144
1174,11240.0,11,1,1166
1175,10420.0,30,3,1148
1176,10560.0,24,4,1153
1177,11070.0,20,2,1156
1178,10380.0,24,1,1157
1179,10770.0,21,3,1156
1180,10260.0,23,3,1157
1181,9620.0,40,2,1143
1182,10370.0,24,1,1157
1183,10460.0,21,3,1158
1184,10590.0,22,2,1157
1185,10030.0,41,3,1138
1186,10510.0,19,3,1160
1187,10330.0,34,2,1145
1188,10190.0,33,3,1146
1189,10710.0,23,2,1155
1190,9890.0,32,1,1151
1191,10890.0,21,2,1156
1192,11150.0,22,1,1154
1193,10470.0,28,2,1151
1194,10050.0,26,3,1155
1195,9730.0,29,6,1151
1196,9750.0,34,3,1148
1197,10590.0,28,1,1151
1198,8970.0,36,4,1150
1199,10580.0,36,1,1142
1200,10350.0,26,2,1154
1201,10840.0,24,3,1152
1202,9950.0,30,3,1151
1203,11180.0,14,1,1163
1204,11060.0,19,2,1157
1205,10400.0,31,3,1147
1206,9550.0,38,5,1143
1207,10460.0,33,0,1147
1208,10470.0,21,3,1158
1209,10110.0,38,4,1140
1210,10350.0,32,2,1147
1211,10810.0,18,1,1161
1212,11380.0,18,0,1158
1213,10700.0,24,2,1154
1214,10560.0,22,1,1158
1215,10160.0,34,1,1147
1216,10850.0,29,1,1148
1217,10170.0,27,2,1154
1218,10730.0,22,1,1157
1219,9640.0,39,2,1144
1220,9890.0,28,5,1152
1221,9340.0,40,4,1143
1222,10060.0,33,3,1147
1223,9610.0,33,1,1152
1224,10690.0,24,1,1155
1225,9770.0,32,2,1151
1226,10620.0,27,3,1150
1227,9920.0,26,6,1153
1228,10000.0,28,1,1155
1229,10320.0,28,3,1151
1230,10320.0,28,4,1150
1231,10830.0,24,0,1155
1232,10580.0,21,0,1160
1233,10380.0,24,1,1157
1234,11000.0,22,1,1155
1235,10040.0,34,2,1147
1236,10420.0,29,0,1152
1237,10320.0,28,3,1151
1238,10360.0,26,3,1153
1239,9820.0,31,5,1149
1240,10090.0,31,1,1151
1241,9800.0,25,5,1156
1242,10750.0,27,1,1151
1243,10750.0,27,0,1152
1244,10820.0,16,2,1162
1245,10890.0,20,0,1159
1246,10300.0,23,5,1155
1247,10110.0,37,2,1143
1248,10020.0,29,5,1150
1249,10360.0,25,3,1154
1250,10740.0,26,2,1151
1251,10030.0,33,2,1148
1252,10160.0,28,3,1152
1253,9900.0,34,4,1146
1254,10540.0,30,2,1148
1255,9910.0,32,3,1149
1256,10570.0,30,2,1148
1257,10460.0,27,2,1152
1258,10760.0,20,0,1160
1259,10860.0,22,1,1156
1260,10170.0,27,2,1154
1261,10000.0,35,1,1147
1262,9280.0,41,1,1145
1263,10880.0,22,1,1156
1264,10010.0,40,1,1141
1265,11120.0,23,0,1154
1266,11060.0,25,0,1152
1267,9730.0,34,2,1149
1268,10410.0,23,1,1158
1269,10040.0,27,3,1154
1270,10540.0,24,2,1155
1271,10130.0,34,1,1147
1272,9660.0,31,2,1153
1273,10140.0,29,3,1151
1274,10500.0,32,1,1147
1275,10040.0,27,4,1153
1276,10520.0,24,3,1154
1277,10420.0,30,2,1149
1278,10630.0,26,1,1153
1279,10410.0,28,1,1152
1280,11360.0,12,0,1165
1281,9800.0,40,4,1140
1282,10770.0,26,1,1152
1283,10780.0,19,2,1159
1284,10200.0,26,3,1154
1285,10520.0,25,1,1155
1286,10640.0,25,1,1154
1287,10100.0,23,2,1159
1288,10850.0,23,1,1155
1289,10970.0,24,1,1153
1290,9520.0,38,3,1145
1291,10010.0,29,3,1152
1292,10700.0,30,0,1149
1293,10230.0,31,2,1149
1294,10370.0,26,4,1152
1295,10390.0,24,1,1157
1296,9930.0,31,2,1151
1297,9920.0,38,0,1145
1298,9800.0,32,3,1150
1299,10810.0,25,1,1153
1300,10800.0,24,2,1153
1301,10380.0,24,2,1156
1302,10120.0,37,2,1143
1303,11180.0,22,1,1154
1304,10230.0,25,4,1154
1305,10790.0,25,1,1153
1306,10620.0,27,4,1149
1307,10550.0,23,0,1158
1308,10320.0,34,2,1145
1309,10500.0,32,2,1146
1310,10220.0,32,1,1149
1311,10080.0,33,4,1146
1312,10380.0,31,1,1149
1313,10400.0,24,5,1153
1314,10340.0,32,1,1148
1315,10100.0,23,3,1158
1316,10480.0,32,0,1148
1317,10080.0,31,2,1150
1318,10850.0,16,2,1162
1319,10740.0,22,3,1155
1320,10790.0,26,2,1151
1321,9930.0,33,3,1148
1322,10780.0,19,2,1159
1323,10730.0,22,2,1156
1324,9990.0,30,5,1149
1325,9670.0,31,4,1151
1326,9830.0,37,3,1144
1327,10050.0,26,2,1156
1328,10350.0,26,2,1154
1329,10800.0,26,1,1152
1330,10350.0,26,2,1154
1331,10110.0,31,4,1148
1332,10100.0,38,3,1141
1333,10690.0,24,3,1153
1334,9510.0,32,5,1150
1335,10280.0,28,0,1154
1336,9980.0,29,2,1153
1337,10880.0,22,1,1156
1338,9540.0,36,1,1149
1339,10380.0,25,3,1154
1340,10010.0,29,4,1151
1341,10570.0,23,3,1155
1342,10140.0,29,3,1151
1343,10340.0,27,3,1152
1344,10480.0,32,0,1148
1345,10910.0,19,0,1160
1346,11130.0,23,0,1154
1347,10070.0,32,1,1150
1348,10590.0,34,1,1144
1349,11150.0,22,0,1155
1350,9720.0,36,6,1143
1351,10010.0,29,3,1152
1352,10480.0,26,4,1151
1353,11270.0,17,1,1159
1354,10600.0,28,1,1151
1355,10610.0,27,1,1152
1356,10500.0,26,2,1153
1357,10040.0,27,3,1154
1358,10010.0,35,1,1147
1359,10390.0,29,1,1151
1360,10750.0,20,3,1157
1361,9970.0,30,4,1150
1362,10710.0,23,4,1153
1363,11110.0,18,2,1158
1364,9780.0,33,4,1148
1365,10510.0,31,0,1149
1366,10330.0,27,2,1153
1367,10020.0,27,1,1156
1368,10270.0,31,4,1147
1369,10990.0,22,1,1155
1370,10980.0,16,2,1161
1371,10780.0,27,1,1151
1372,10090.0,24,2,1158
1373,10840.0,17,2,1161
1374,9770.0,33,3,1149
1375,10750.0,21,3,1156
1376,10170.0,34,2,1146
1377,10550.0,24,2,1155
1378,10270.0,30,2,1150
1379,10520.0,24,1,1156
1380,10740.0,20,1,1159
1381,10330.0,28,4,1150
1382,9760.0,27,6,1153
1383,11340.0,13,1,1163
1384,10360.0,25,3,1154
1385,10410.0,28,0,1153
1386,10580.0,29,1,1150
1387,10030.0,28,4,1152
1388,10260.0,36,2,1143
1389,9030.0,40,2,1147
1390,10770.0,27,1,1151
1391,10670.0,25,2,1153
1392,10490.0,20,3,1159
1393,10670.0,24,2,1154
1394,8810.0,43,3,1144
1395,10310.0,34,0,1147
1396,10520.0,25,2,1154
1397,10560.0,24,3,1154
1398,9250.0,37,4,1147
1399,10830.0,30,1,1147
1400,10860.0,22,2,1155
1401,10770.0,20,2,1158
1402,9800.0,31,1,1153
1403,10870.0,23,2,1154
1404,10400.0,24,4,1154
1405,10770.0,27,1,1151
1406,10560.0,22,2,1157
1407,9370.0,38,4,1145
1408,10220.0,33,2,1147
1409,7330.0,65,2,1129
1410,10460.0,27,2,1152
1411,9900.0,35,4,1145
1412,9800.0,31,3,1151
1413,9780.0,38,2,1144
1414,10460.0,27,2,1152
1415,10580.0,28,0,1152
1416,11070.0,20,1,1157
1417,10370.0,31,0,1150
1418,10080.0,38,3,1141
1419,10750.0,20,0,1160
1420,10720.0,21,0,1159
1421,10190.0,34,2,1146
1422,9400.0,35,1,1151
1423,10600.0,22,3,1156
1424,10650.0,26,3,1151
1425,11070.0,19,1,1158
1426,10300.0,35,1,1145
1427,11180.0,22,1,1154
1428,9660.0,38,1,1146
1429,9080.0,39,6,1144
1430,10540.0,30,2,1148
1431,10140.0,35,2,1145
1432,10260.0,23,3,1157
